Date,PortNumber,ServiceName,RequestedBy,ChangeDescription,ExecutionGrp

Mon Jul 4 10:08:00 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the new object(Headers features) in BKIC service getVehicleQutationData method
Mon Jul 4 10:41:21 AST 2016 , 7855, NationalComplaintsApprovalBAR, Sudhakar, Added 2 optional parameters caseCategory..priority in SearchCriteria object
Mon Jul 4 10:42:41 AST 2016 , 7855, TawasulV30BAR, Sudhakar, Added 2 optional parameters caseCategory..priority in SearchCriteria object
Tue Jul 5 09:25:01 AST 2016 , 7855, NGI_TawasulReportsService, Sudhakar, Enable HTTPS True
Tue Jul 5 13:57:41 AST 2016 , 7856, NGI_IssueOfStudentCertificate, Sudhakar, Updated with new UDP .UDP_EXECUTION_GROUP. to identify the channel id.
Tue Jul 5 14:00:56 AST 2016 , 7848, NGI_IssueOfStudentCertificate, Sudhakar, Updated with new UDP .UDP_EXECUTION_GROUP. to identify the channel id.
Wed Jul 13 15:13:31 AST 2016 , 7854, NGI-CSBServiceBPEL_HTTPS, Gayathri, Added DMZ WS URL in Properties to invokeGetQualifications 
Wed Jul 13 15:14:42 AST 2016 , 7854, NGI-CSBServiceBPEL_HTTPS, Gayathri, Added DMZ WS URL in Properties to invoke following methods GetQualifications LKUPDayInfo GetEmployeeMonthInfo GetEmployeeAttendanceInfo GetEmployeeHolidays in Mobile
Sun Jul 17 11:24:30 AST 2016 , 7854, NGI_IssuanceofInsurancePolicyforKFCUICService, Venkat, Service exposed to Mobile
Sun Jul 17 11:55:26 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, We have implemented new operation .getMunicpalIdFromBlockNumber. this change regarding adding concerned Municipality to the lease contract request before payment
Sun Jul 17 11:56:04 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, We have implemented new operation .getMunicpalIdFromBlockNumber. this change regarding adding concerned Municipality to the lease contract request before payment
Sun Jul 17 12:00:50 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, We have implemented new operation .getMunicpalIdFromBlockNumber. this change regarding adding concerned Municipality to the lease contract request before payment
Sun Jul 17 12:03:21 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, We have implemented new operation .getMunicpalIdFromBlockNumber. this change regarding adding concerned Municipality to the lease contract request before payment
Sun Jul 17 12:03:55 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, We have implemented new operation .getMunicpalIdFromBlockNumber. this change regarding adding concerned Municipality to the lease contract request before payment
Sun Jul 17 12:07:30 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, We have implemented new operation .getMunicpalIdFromBlockNumber. this change regarding adding concerned Municipality to the lease contract request before payment
Sun Jul 17 15:13:40 AST 2016 , 7848, NGI-ExecutionServices, Gayathri, 1.Added new error code and error message in SubmitExecutionFile method when Amount is 0 EFS-0014 - THERE ARE NO PENDING PAYMENTS
Sun Jul 17 15:15:41 AST 2016 , 7856, NGI-ExecutionServices, Gayathri, 1.Added new error code and error message in SubmitExecutionFile method when Amount is 0 EFS-0014 - THERE ARE NO PENDING PAYMENTS
Mon Jul 18 10:43:28 AST 2016 , 7856, NGI-ExecutionServices, Gayathri, 1.Added new error code and error message in GetExecutionFile method when Amount is 0 EFS-0014 - THERE ARE NO PENDING PAYMENTS. 2.Removed the error code in SubmitExecutionFile method
Mon Jul 18 10:45:06 AST 2016 , 7848, NGI-ExecutionServices, Gayathri, 1.Added new error code and error message in GetExecutionFile method when Amount is 0 EFS-0014 - THERE ARE NO PENDING PAYMENTS. 2.Removed the error code in SubmitExecutionFile method
Wed Jul 20 16:40:12 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, Added the new error codes in GetBNF method. 20736(Certificate Payment Done) 102.2(Unexpected Status)
Wed Jul 20 17:22:09 AST 2016 , 7854, NGI_GovernmentDirectory, Thiyan, Latest data dump and a small bug fix for publish date
Sun Jul 24 09:52:42 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, Added new field .MunicipalityOwnerCode. as part of response message in the operation .ValidatePropertyRegistrationAndFetch.
Sun Jul 24 11:52:59 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Merged the GDTUpload service
Sun Jul 24 12:48:29 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Merged the GDTUpload service
Mon Jul 25 15:48:31 AST 2016 , 7856, NGI_IssueOfBirthCertificateService, Venkat, Added the hyphen in request BNF Number
Mon Jul 25 15:52:09 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Updated the LKUPDeliveryType, LKUPVehicleMake responses
Tue Jul 26 12:26:46 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the VehicleBodyType new method for BKIC
Tue Jul 26 16:05:29 AST 2016 , 7848, NGI-LawyerAuthorization, Gayathri, It is a new migration service
Tue Jul 26 16:08:12 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, Updated with new error codes for operation .getMunicpalIdFromBlockNumber..
Tue Jul 26 16:27:57 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, Modified error description for operation .getMunicpalIdFromBlockNumber..
Wed Jul 27 08:59:16 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Updated the LKUPBranchList method(added the ID and Arabic values)
Thu Jul 28 13:27:32 AST 2016 , 7848, NGI-PropertyContractRegistration, Sudhakar, we handled schema validation errors  by setting parser mode as .complete. at soap input node level
Sun Jul 31 09:27:31 AST 2016 , 7845, NGI_AddCompanyPartnersService, Venkat, Updated the Service code(CSO020-AddCompanyPartners).
Sun Jul 31 09:28:06 AST 2016 , 7845, NGIResponseRouter, Venkat, Updated the Service code(CSO020-AddCompanyPartners).
Sun Jul 31 11:29:17 AST 2016 , 7848, NGI-CustomServiceMF, Venkat, Updated the CIO service
Sun Jul 31 11:32:40 AST 2016 , 7803, NGI-GOYSPersonBasicInfoImplService, Gayathri, 1.CPR parameter is changed from int to string only in the response object of getGOYSPersonBasicInfo ..  getGOYSPersonBasicInfoWithEkey
Sun Jul 31 12:18:35 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the new method in BKIC(Excess Type)
Sun Jul 31 13:17:22 AST 2016 , 7848, NGI-LawyerAuthorization, Gayathri, 1.Backed GOYSPersonBasicInfo wsdl is changed. CPR parameter is changed from int to string in the response object of getGOYSPersonBasicInfo getGOYSPersonBasicInfoWithEkey
Sun Jul 31 15:33:23 AST 2016 , 7848, NGI-LawyerAuthorization, Gayathri, Disabled the CIO validation
Mon Aug 1 08:57:36 AST 2016 , 7848, NGI-LawyerAuthorization, Gayathri, Disabled the CIO validation
Mon Aug 1 09:40:39 AST 2016 , 7848, NGI-CustomServiceMF, Venkat, Updated the PersonalNumber parameter datatype from Int to String in GetUserProfile method
Mon Aug 1 10:32:01 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the new error code in Solidarity for RenewalInsurenceQutation method
Mon Aug 1 11:49:51 AST 2016 , 7848, NGI-LawyerAuthorization, Gayathri, Some code change
Tue Aug 2 16:22:21 AST 2016 , 7848, NGI_VehicleInsurenceQutationsService, Venkat, Added the new parameter (CustomerCode) in Solidarity side for UpdateUserdetails method
